 ID,P.Value,logFC
MIMAT0019849,0.35767,0.24484
MIMAT0007349,0.36194,0.2539
MIMAT0022946,0.36224,0.21347
MIMAT0022942,0.36355,0.25177
MIMAT0027667,0.36367,0.28964
MIMAT0009203,0.36415,0.2653
MIMAT0016900,0.36431,0.23006
MIMAT0003308,0.3646,0.21363
MIMAT0019737,0.36463,0.23262
MIMAT0018949,0.36639,0.26494
MIMAT0019808,0.36735,0.22841
MIMAT0018944,0.36932,-0.24643
MIMAT0027477,0.37038,0.26916
MIMAT0027688,0.37126,0.25428
MIMAT0027671,0.37296,0.25472
MIMAT0027444,0.37402,0.26174
MIMAT0027473,0.3754,0.23436
MIMAT0026477,0.37564,0.23617
MIMAT0018929,0.37821,0.24803
MIMAT0027541,0.37888,0.24446
MIMAT0019844,0.38018,0.26118
MIMAT0027511,0.38122,0.18451
MIMAT0027575,0.38239,0.16379
MIMAT0027505,0.38387,0.24969
MIMAT0015064,0.38474,0.27087
MIMAT0023714,0.38511,0.18447
MIMAT0000722,0.38769,0.2128
MIMAT0031178,0.38907,0.24746
MIMAT0027600,0.39085,0.1926
MIMAT0027654,0.39096,0.22785
MIMAT0028114,0.3923,0.23014
MIMAT0018999,0.39255,0.23535
MIMAT0019871,0.39503,0.22421
MIMAT0031012,0.3951,0.2606
MIMAT0000773,0.39718,0.25733
MIMAT0019743,0.39915,0.24266
MIMAT0027532,0.39918,0.1972
MIMAT0019032,0.40183,0.20255
MIMAT0019064,0.40243,0.22114
MIMAT0014996,0.40328,0.22914
MIMAT0028119,0.4049,0.23666
MIMAT0019885,0.40792,0.21563
MIMAT0015019,0.40794,0.23672
MIMAT0016878,0.41064,0.20921
MIMAT0003282,0.41079,0.16377
MIMAT0027457,0.41113,0.23098
MIMAT0027401,0.41179,0.26248
MIMAT0004496,0.41185,0.20626
MIMAT0009199,0.41447,0.22839
MIMAT0027458,0.41565,0.22181
MIMAT0025856,0.42284,0.20177
MIMAT0019913,0.42559,0.20303
MIMAT0027530,0.42733,0.19776
MIMAT0026486,0.42749,0.21104
MIMAT0022732,0.42784,0.23907
MIMAT0004508,0.43025,0.23008
MIMAT0019838,0.4379,0.24067
MIMAT0004610,0.44703,0.22575
MIMAT0022736,0.44832,0.22589
MIMAT0027538,0.44976,0.20206
MIMAT0027374,0.45236,0.23731
MIMAT0022941,0.4541,0.18833
MIMAT0019798,0.45669,0.2009
MIMAT0027592,0.46292,0.21455
MIMAT0027382,0.46309,0.22521
MIMAT0023700,0.46312,0.18876
MIMAT0005572,0.46611,0.21316
MIMAT0030414,0.46684,0.20964
MIMAT0027650,0.4678,0.19013
MIMAT0027430,0.46796,0.16735
MIMAT0019859,0.47123,0.15927
MIMAT0027383,0.4752,0.1829
MIMAT0029782,0.47807,0.27884
MIMAT0019721,0.47892,0.1794
MIMAT0027464,0.47919,0.22542
MIMAT0019082,0.48102,0.18998
MIMAT0007881,0.48227,0.18296
MIMAT0027431,0.4826,0.15914
MIMAT0027616,0.48327,0.16991
MIMAT0027448,0.48711,0.17269
MIMAT0005586,0.48959,0.17571
MIMAT0027038,0.4903,0.20353
MIMAT0016882,0.49101,0.23102
MIMAT0004552,0.49497,0.21508
MIMAT0027375,0.4971,0.17679
MIMAT0027516,0.49794,0.17884
MIMAT0019779,0.50381,0.1708
MIMAT0005573,0.50444,0.15684
MIMAT0001339,0.50539,0.16054
MIMAT0030996,0.50566,0.15895
MIMAT0027480,0.50634,0.15916
MIMAT0027684,0.50783,0.16532
MIMAT0019797,0.51091,0.18113
MIMAT0019870,0.51427,0.20784
MIMAT0023116,0.51439,0.17565
MIMAT0025852,0.51516,0.18301
MIMAT0022717,0.51609,0.19503
MIMAT0027622,0.5238,0.17641
MIMAT0027506,0.52674,0.16297
MIMAT0027586,0.52715,0.16601
MIMAT0005905,0.52909,0.15054
MIMAT0027418,0.52912,0.18644
MIMAT0019043,0.53331,0.19106
MIMAT0015010,0.53483,0.17115
MIMAT0027488,0.53488,0.16759
MIMAT0027359,0.54229,0.14407
MIMAT0027542,0.54732,0.16343
MIMAT0023710,0.54994,0.15586
MIMAT0021080,0.55348,0.16318
MIMAT0028121,0.55367,0.15049
MIMAT0023715,0.56262,0.12776
MIMAT0024782,0.56781,0.16841
MIMAT0004983,0.56904,0.12983
MIMAT0027468,0.56962,0.13735
MIMAT0027596,0.57087,0.15601
MIMAT0027678,0.5734,0.1496
MIMAT0019077,0.57515,0.17938
MIMAT0027462,0.57717,0.1323
MIMAT0019033,0.57933,0.1641
MIMAT0027404,0.58014,0.13671
MIMAT0019835,0.58127,0.15679
MIMAT0019044,0.58522,0.16012
MIMAT0018072,0.5861,0.15193
MIMAT0004794,0.59112,0.12836
MIMAT0027472,0.59162,0.12145
MIMAT0022260,0.59292,0.15282
MIMAT0018076,0.59358,0.12491
MIMAT0027474,0.60001,0.13994
MIMAT0019979,0.60272,0.14858
MIMAT0027500,0.60539,0.13255
MIMAT0027540,0.61127,0.14057
MIMAT0018986,0.61259,0.13855
MIMAT0018951,0.61332,0.19485
MIMAT0019695,0.61972,0.17754
MIMAT0019887,0.6202,0.12947
MIMAT0027484,0.62144,0.12419
MIMAT0025854,0.62425,0.13129
MIMAT0024615,0.62605,0.18934
MIMAT0028117,0.62846,0.14341
MIMAT0018931,0.62969,0.1465
MIMAT0022967,0.62973,0.12913
MIMAT0005922,0.63123,0.13079
MIMAT0021021,0.63128,0.13115
MIMAT0027548,0.63155,0.1304
MIMAT0019699,0.63344,0.13058
MIMAT0027660,0.63458,0.13792
MIMAT0031016,0.63734,0.13878
MIMAT0019874,0.63929,0.14373
MIMAT0004945,0.64159,-0.11927
MIMAT0004589,0.64247,0.13499
MIMAT0015070,0.67007,0.11781
MIMAT0004970,0.67519,0.1241
MIMAT0019015,0.68098,0.14529
MIMAT0025478,0.68688,-0.10661
MIMAT0027550,0.69144,0.11023
MIMAT0016889,0.69183,0.09927
MIMAT0024616,0.69324,-0.10095
MIMAT0018945,0.6952,0.10668
MIMAT0027498,0.69999,0.11274
MIMAT0023701,0.70079,0.10743
MIMAT0019021,0.70133,0.10388
MIMAT0019964,0.70516,0.11359
MIMAT0019003,0.70894,0.12922
MIMAT0015028,0.713,0.10263
MIMAT0018981,0.71484,0.09689
MIMAT0028113,0.71881,0.08885
MIMAT0016849,0.72316,0.09886
MIMAT0018994,0.72487,-0.10286
MIMAT0027686,0.73809,-0.10142
MIMAT0005871,0.74371,0.101
MIMAT0004982,0.75092,0.09286
MIMAT0030986,0.75756,0.06641
MIMAT0019739,0.76878,0.07601
MIMAT0028125,0.76962,0.08279
MIMAT0004679,0.77017,0.05583
MIMAT0018925,0.77048,0.07686
MIMAT0031180,0.77132,0.08325
MIMAT0027658,0.77266,-0.08537
MIMAT0019069,0.77266,0.09103
MIMAT0027614,0.77277,0.08866
MIMAT0018961,0.77698,0.09933
MIMAT0025846,0.77704,0.0751
MIMAT0019881,0.77733,0.07701
MIMAT0019337,0.77815,0.04598
MIMAT0024598,0.78681,0.06534
MIMAT0022693,0.79216,0.0808
MIMAT0024610,0.79283,0.07864
MIMAT0019788,0.79345,0.07643
MIMAT0022691,0.79345,0.07699
MIMAT0030420,0.79424,0.07509
MIMAT0024599,0.79829,0.07239
MIMAT0018971,0.80868,0.10107
MIMAT0027454,0.81174,0.06902
MIMAT0004748,0.8128,0.07186
MIMAT0025486,0.81422,-0.06417
MIMAT0027482,0.825,0.05976
MIMAT0030999,0.83054,0.04867
MIMAT0027496,0.83409,0.05552
MIMAT0016858,0.83475,0.05974
MIMAT0004951,0.83973,0.05708
MIMAT0015065,0.85315,0.05642
MIMAT0022721,0.86617,0.04057
MIMAT0019020,0.86833,0.04888
MIMAT0018104,0.87494,0.04833
MIMAT0027426,0.8815,-0.04472
MIMAT0012734,0.8982,-0.03313
MIMAT0030998,0.89934,-0.03931
MIMAT0018205,0.92089,0.02339
MIMAT0030421,0.92169,0.02553
MIMAT0027365,0.92554,0.02396
MIMAT0027572,0.93516,-0.02373
MIMAT0019041,0.97274,0.00853
MIMAT0004948,0.9794,0.00668
MIMAT0022977,0.98216,0.00594
MIMAT0003240,0.99167,0.00364
MIMAT0022259,0.99262,-0.00288
